Stage Number,Time since start of test (s),Time since start of stage (s),Radial Pressure (kPa),Radial Volume (mm3),Back Pressure (kPa),Back Volume (mm3),Load Cell (kN),Pore Pressure (kPa),Axial Displacement (mm),L/C Pressure (kPa),L/C Volume (mm3),Local Axial 1,Local Axial 2,Local Radial,Base Pressure (kPa),Base Volume (mm3),Back Differential Pressure (kPa),Axial Displacement 2 (mm),Pore Air Pressure (kPa),Pore Air Volume (mm3),Atmospheric Pressure (kPa),Temperature (°C),Mid Plane PWP (kPa),Back to Cell Differential (kPa),Total Volume Change (mm3),Undefined Tx 1,Undefined Tx 2,Undefined Tx 3,Undefined Tx. 4,HCA secondary control axial load (kN),HCA secondary control torque,Internal Cell Pr. (kPa),Internal Cell Vol. (mm3),Rotational Displ. (mm),Torque,Local Int Defmn 1 (mm),Local Int Defmn 2 (mm),Circumf. Defmn 1 (mm),Circumf. Defmn 2 (mm),Circumf. Defmn 3 (mm),Outer Cell Pr 2 (kPa),Internal cell Pr 2 (kPa),Rotation 2 (°),Secondary Cell Pr (kPa),Secondary Back Pr (kPa),Axial Force (kN),Axial Strain (%),Av Diameter Change (mm),Radial Strain (%),Axial Stress (kPa),Eff. Axial Stress (kPa),Eff. Radial Stress (kPa),Deviator Stress (kPa),Total Stress Ratio (%),Eff. Stress Ratio (%),Current Area (mm2),Shear Strain (%),Cambridge p (kPa),Eff. Cambridge p' (kPa),Max Shear Stress t,Volume Change (mm3),B Value,Mean Stress s/Eff. Axial Stress 2,Excess PWP (kPa),PWP Ratio,Lower Chamber Displacement (mm),Lower Chamber Axial Load (kPa),Specimen Air Volume (mm3),Matric Suction (kPa),Voids ratio,Degree of Saturation (°),Specimen Water Volume (mm3),kRT constant,Permeability IN,Permeability OUT,HCA Outer Rad,HCA Inner Rad,HCA Sigma Z (kPa),HCA Sigma R (kPa),HCA Sigma Theta (kPa),HCA Tau Theta Z,HCA Ez,HCA Er,HCA Etheta,HCA Gamma,HCA Sigma1,HCA Sigma2,HCA Sigma3,HCA Eff Sigma1,HCA Eff Sigma2,HCA Eff Sigma3,HCA E1,HCA E2,HCA E3,HCA P,HCA Eff P,HCA Q,HCA B,HCA Eff R,HCA Alpha,HCA Ev,HCA E1 rtv
1,0,0,577.5811,142185.6,481,0,0.0908,482.0748,0.0012,0,0,0.0528,0.0522,0.0518,0,0,0,9.3275,0,0,100,0,0,0,0,0,0,0,0,0,0,584.5171,19932.57,-0.0045,4.3793,0,0,0,0,0,0,0,0,0,0,4.6271,0.0006,0.0003,0.0003,589.1376,107.0628,95.5063,11.5565,1.02,1.121,7854.022,0.0006,581.4333,99.3585,5.7783,0,0.3844,101.2845,1.0748,0.01,0,0,1507964,-482.0748,0,0,0,1.51E+08,0,0,49.6686,29.4442,591.8869,580.1625,567.4832,21.5554,0.0006,-1.1095,1.1214,-0.0017,604.4544,580.1625,554.9157,122.3796,98.0877,72.8409,1.1214,-1.1095,0.0006,579.8442,97.7694,49.5387,0.5096,1.6801,30.2436,0.0125,90.0008
1,0,0,577.513,142204.7,481,0,0.0943,482.3294,0.0027,0,0,0.0528,0.0522,0.0518,0,0,0,9.3316,0,0,100,0,0,0,0,0,0,0,0,0,0,584.5759,19908.79,0,4.4488,0,0,0,0,0,0,0,0,0,0,4.6301,0.0014,0.0007,0.0007,589.5149,107.1855,95.1836,12.0019,1.0208,1.1261,7854.085,0.0014,581.5136,99.1842,6.001,0,4.2086,101.1846,1.3294,0.0124,0,0,1507964,-482.3294,0,0,0,1.51E+08,0,0,49.6692,29.445,592.4459,580.1417,567.2299,21.897,0.0014,-1.1086,1.1196,0,605.1053,580.1417,554.5705,122.7759,97.8123,72.2411,1.1196,-1.1086,0.0014,579.9392,97.6098,50.5348,0.506,1.6995,30.0336,0.0124,90
1,0.2,0.2,577.7053,142208.6,481,0,0.0938,482.216,0.001,0,0,0.0528,0.0522,0.0518,0,0,0,9.3311,0,0,100,0,0,0,0,0,0,0,0,0,0,584.2329,19900.02,0.0304,5.0586,0,0,0,0,0,0,0,0,0,0,4.6311,0.0005,0.0002,0.0002,589.6475,107.4315,95.4893,11.9422,1.0207,1.1251,7854.014,0.0005,581.686,99.47,5.9711,0,0.7361,101.4604,1.216,0.0113,0,0,1507964,-482.216,0,0,0,1.51E+08,0,0,49.6691,29.4451,592.829,580.1348,568.2015,24.8987,0.0005,-1.1076,1.1196,0.0112,608.2925,580.1348,552.738,126.0765,97.9188,70.522,1.1197,-1.1076,0.0004,580.3884,98.1724,55.5545,0.4932,1.7878,31.8426,0.0125,89.995
1,0.4,0.4,577.8332,142223.6,481,0,0.0942,482.1745,0,0,0,0.0528,0.0522,0.0518,0,0,0,9.3324,0,0,100,0,0,0,0,0,0,0,0,0,0,584.2127,19898.77,0.0585,5.6909,0,0,0,0,0,0,0,0,0,0,4.6325,0,0,0,589.8287,107.6542,95.6587,11.9955,1.0208,1.1254,7853.975,0,581.8317,99.6572,5.9978,0,0.3915,101.6564,1.1745,0.0109,0,0,1507964,-482.1745,0,0,0,1.51E+08,0,0,49.669,29.445,593.1167,580.2075,568.545,28.011,0,-1.1076,1.1199,0.0215,611.4177,580.2075,550.2439,129.2432,98.033,68.0694,1.1201,-1.1076,-0.0002,580.623,98.4485,61.1738,0.4898,1.8987,33.1587,0.0123,89.9904
1,0.6,0.6,577.8716,142214.8,481,0,0.0938,481.92,-0.0011,0,0,0.0528,0.0522,0.0518,0,0,0,9.3299,0,0,100,0,0,0,0,0,0,0,0,0,0,583.9011,19898.77,0.0857,6.3214,0,0,0,0,0,0,0,0,0,0,4.6324,-0.0006,-0.0003,-0.0003,589.8195,107.8995,95.9516,11.9479,1.0207,1.1245,7853.928,-0.0006,581.8542,99.9342,5.974,0,-0.2323,101.9256,0.92,0.0085,0,0,1507964,-481.92,0,0,0,1.51E+08,0,0,49.6688,29.4449,593.2654,580.1157,569.0929,31.1148,-0.0006,-1.1071,1.1203,0.0315,614.5589,580.1157,547.7994,132.6389,98.1957,65.8794,1.1207,-1.1071,-0.001,580.8246,98.9047,66.7595,0.4841,2.0134,34.3859,0.0126,89.986
1,0.8,0.8,578.2408,142217.9,481,0,0.0951,481.922,-0.0016,0,0,0.0528,0.0522,0.0518,0,0,0,9.3344,0,0,100,0,0,0,0,0,0,0,0,0,0,584.0677,19900.65,0.1203,6.8994,0,0,0,0,0,0,0,0,0,0,4.6366,-0.0008,-0.0004,-0.0004,590.3555,108.4335,96.3188,12.1148,1.021,1.1258,7853.912,-0.0008,582.2791,100.3571,6.0574,0,-0.1228,102.3762,0.922,0.0085,0,0,1507964,-481.922,0,0,0,1.51E+08,0,0,49.6688,29.4449,594.003,580.4094,569.7571,33.9598,-0.0008,-1.1071,1.1203,0.0442,617.9388,580.4094,545.8212,136.0168,98.4874,63.8992,1.1212,-1.1071,-0.0017,581.3898,99.4678,72.1176,0.4796,2.1286,35.1772,0.0124,89.9803
1,1,1,577.8906,142238.4,481,0,0.0934,481.865,-0.0005,0,0,0.0528,0.0522,0.0518,0,0,0,9.3344,0,0,100,0,0,0,0,0,0,0,0,0,0,584.0098,19905.03,0.1665,7.4491,0,0,0,0,0,0,0,0,0,0,4.6321,-0.0003,-0.0002,-0.0002,589.7796,107.9146,96.0256,11.889,1.0206,1.1238,7853.951,-0.0003,581.8536,99.9886,5.9445,0,-0.3445,101.9701,0.865,0.008,0,0,1507964,-481.865,0,0,0,1.51E+08,0,0,49.6688,29.4448,593.1562,580.1681,568.9815,36.6654,-0.0003,-1.1076,1.1204,0.0612,619.6753,580.1681,542.4624,137.8103,98.3031,60.5974,1.1221,-1.1076,-0.002,580.7686,98.9036,77.2129,0.4883,2.2742,35.8772,0.0125,89.9727
1,1.2,1.2,578.0042,142221.9,481,0,0.0942,482.027,0.0019,0,0,0.0528,0.0522,0.0518,0,0,0,9.3373,0,0,100,0,0,0,0,0,0,0,0,0,0,584.097,19911.29,0.2339,7.912,0,0,0,0,0,0,0,0,0,0,4.6339,0.001,0.0005,0.0005,590.0011,107.9741,95.9772,11.9969,1.0208,1.125,7854.054,0.001,582.0032,99.9762,5.9985,0,0.0117,101.9756,1.027,0.0095,0,0,1507964,-482.027,0,0,0,1.51E+08,0,0,49.669,29.4448,593.4431,580.2718,569.1336,38.9432,0.001,-1.1086,1.1202,0.0859,622.0843,580.2718,540.4924,140.0573,98.2448,58.4654,1.1235,-1.1086,-0.0023,580.9495,98.9225,81.5919,0.4875,2.3956,36.333,0.0126,89.9617
1,1.4,1.4,578.0577,142228.9,481,0,0.0931,482.3725,0.0068,0,0,0.0528,0.0522,0.0518,0,0,0,9.3379,0,0,100,0,0,0,0,0,0,0,0,0,0,584.1061,19914.42,0.3369,8.3274,0,0,0,0,0,0,0,0,0,0,4.6333,0.0035,0.0018,0.0018,589.9099,107.5374,95.6852,11.8522,1.0205,1.1239,7854.25,0.0035,582.0084,99.6359,5.9261,0,0.5697,101.6113,1.3725,0.0128,0,0,1507964,-482.3725,0,0,0,1.51E+08,0,0,49.6696,29.4451,593.3013,580.3088,569.2517,40.9863,0.0035,-1.11,1.119,0.1238,623.9904,580.3088,538.5626,141.6179,97.9363,56.1901,1.1258,-1.11,-0.0033,580.9539,98.5814,85.4278,0.4887,2.5203,36.8245,0.0125,89.9448
1,1.6,1.6,577.926,142213,486,0,0.0939,483.3895,0.0146,0,0,0.0528,0.0522,0.0518,0,0,0,9.3808,0,0,100,0,0,0,0,0,0,0,0,0,0,584.2637,19913.79,0.4931,8.705,0,0,0,0,0,0,0,0,0,0,4.6333,0.0076,0.0038,0.0038,589.8857,106.4962,94.5365,11.9597,1.0207,1.1265,7854.572,0.0076,581.9126,98.5231,5.9799,0,2.8145,100.5163,-2.6105,-0.0245,0,0,1507964,-483.3895,0,0,0,1.51E+08,0,0,49.6706,29.4457,593.1713,580.2847,568.699,42.8422,0.0076,-1.112,1.117,0.1812,625.4905,580.2847,536.3798,142.101,96.8952,52.9903,1.1316,-1.112,-0.007,580.7183,97.3288,89.1107,0.4927,2.6816,37.0301,0.0126,89.9192
