Stage Number,Time since start of test (s),Time since start of stage (s),Radial Pressure (kPa),Radial Volume (mm3),Back Pressure (kPa),Back Volume (mm3),Load Cell (kN),Pore Pressure (kPa),Axial Displacement (mm),L/C Pressure (kPa),L/C Volume (mm3),Local Axial 1,Local Axial 2,Local Radial,Base Pressure (kPa),Base Volume (mm3),Back Differential Pressure (kPa),Axial Displacement 2 (mm),Pore Air Pressure (kPa),Pore Air Volume (mm3),Atmospheric Pressure (kPa),Temperature (°C),Mid Plane PWP (kPa),Back to Cell Differential (kPa),Total Volume Change (mm3),Undefined Tx 1,Undefined Tx 2,Undefined Tx 3,Undefined Tx. 4,HCA secondary control axial load (kN),HCA secondary control torque,Internal Cell Pr. (kPa),Internal Cell Vol. (mm3),Rotational Displ. (mm),Torque,Local Int Defmn 1 (mm),Local Int Defmn 2 (mm),Circumf. Defmn 1 (mm),Circumf. Defmn 2 (mm),Circumf. Defmn 3 (mm),Outer Cell Pr 2 (kPa),Internal cell Pr 2 (kPa),Rotation 2 (°),Secondary Cell Pr (kPa),Secondary Back Pr (kPa),Axial Force (kN),Axial Strain (%),Av Diameter Change (mm),Radial Strain (%),Axial Stress (kPa),Eff. Axial Stress (kPa),Eff. Radial Stress (kPa),Deviator Stress (kPa),Total Stress Ratio (%),Eff. Stress Ratio (%),Current Area (mm2),Shear Strain (%),Cambridge p (kPa),Eff. Cambridge p' (kPa),Max Shear Stress t,Volume Change (mm3),B Value,Mean Stress s/Eff. Axial Stress 2,Excess PWP (kPa),PWP Ratio,Lower Chamber Displacement (mm),Lower Chamber Axial Load (kPa),Specimen Air Volume (mm3),Matric Suction (kPa),Voids ratio,Degree of Saturation (°),Specimen Water Volume (mm3),kRT constant,Permeability IN,Permeability OUT,HCA Outer Rad,HCA Inner Rad,HCA Sigma Z (kPa),HCA Sigma R (kPa),HCA Sigma Theta (kPa),HCA Tau Theta Z,HCA Ez,HCA Er,HCA Etheta,HCA Gamma,HCA Sigma1,HCA Sigma2,HCA Sigma3,HCA Eff Sigma1,HCA Eff Sigma2,HCA Eff Sigma3,HCA E1,HCA E2,HCA E3,HCA P,HCA Eff P,HCA Q,HCA B,HCA Eff R,HCA Alpha,HCA Ev,HCA E1 rtv
1,0,0,604.8281,145625.9,503,0,-0.1848,505.3422,-0.0001,0,0,0.0528,0.0522,0.0518,0,0,0,7.266,0,0,100,0,0,0,0,0,0,0,0,0,0,592.1778,-42852.86,-0.0011,0.0269,0,0,0,0,0,0,0,0,0,0,4.5655,-0.0001,0,0,581.2985,75.9563,99.4859,-23.5296,0.9611,0.7635,7853.967,-0.0001,596.9849,91.6427,-11.7648,0,19.3894,87.7211,2.3422,0.0308,0,0,1524615,-505.3422,0,0,0,1.52E+08,0,0,50.6978,31.1491,575.7347,600.0137,624.9853,0.1283,-0.0001,2.3086,-2.2565,-0.0004,624.9856,600.0137,575.7344,119.6434,94.6715,70.3922,-0.0001,2.3086,-2.2565,600.2446,94.9024,49.2512,0.493,1.6997,89.8507,0.052,-0.0001
1,0,0,604.7419,145670.2,503,0,-0.1891,505.328,-0.0025,0,0,0.0528,0.0522,0.0518,0,0,0,7.2635,0,0,100,0,0,0,0,0,0,0,0,0,0,592.4128,-42863.96,0.0011,0.0221,0,0,0,0,0,0,0,0,0,0,4.5605,-0.0013,-0.0006,-0.0006,580.6689,75.3409,99.4139,-24.073,0.9602,0.7579,7853.873,-0.0013,596.7175,91.3895,-12.0365,0,-3.3236,87.3774,2.328,0.0309,0,0,1524615,-505.328,0,0,0,1.52E+08,0,0,50.6976,31.1492,574.5978,600.0497,624.3876,0.1054,-0.0013,2.3102,-2.2564,0.0004,624.3878,600.0497,574.5975,119.0598,94.7217,69.2695,-0.0013,2.3102,-2.2564,599.6783,94.3503,49.7903,0.5112,1.7188,89.8787,0.0525,0.0001
1,0.2,0.2,605.0321,145684.6,503,0,-0.1867,505.2964,-0.001,0,0,0.0528,0.0522,0.0518,0,0,0,7.2811,0,0,100,0,0,0,0,0,0,0,0,0,0,592.0125,-42881.02,0.0281,0.3986,0,0,0,0,0,0,0,0,0,0,4.5652,-0.0005,-0.0003,-0.0003,581.2627,75.9663,99.7357,-23.7694,0.9607,0.7617,7853.936,-0.0005,597.1089,91.8125,-11.8847,0,0.9713,87.851,2.2964,0.0302,0,0,1524615,-505.2964,0,0,0,1.52E+08,0,0,50.6981,31.1498,575.7847,600.077,625.7786,1.9016,-0.0005,2.3107,-2.2577,0.0105,625.8508,600.077,575.7125,120.5544,94.7806,70.4161,-0.0005,2.3107,-2.2577,600.5468,95.2504,50.1383,0.4859,1.712,87.8249,0.0525,0.0023
1,0.4,0.4,604.9174,145696.2,503,0,-0.1876,505.3154,-0.0019,0,0,0.0528,0.0522,0.0518,0,0,0,7.2593,0,0,100,0,0,0,0,0,0,0,0,0,0,591.8406,-42889.79,0.0419,0.7748,0,0,0,0,0,0,0,0,0,0,4.5634,-0.001,-0.0005,-0.0005,581.0364,75.721,99.602,-23.881,0.9605,0.7602,7853.896,-0.001,596.9571,91.6417,-11.9405,0,2.2432,87.6615,2.3154,0.0306,0,0,1524615,-505.3154,0,0,0,1.52E+08,0,0,50.6981,31.1499,575.5257,599.9406,625.7552,3.6963,-0.001,2.3112,-2.2578,0.0157,626.0258,599.9406,575.2551,120.7104,94.6252,69.9397,-0.0009,2.3112,-2.2579,600.4072,95.0918,50.7707,0.4862,1.7259,85.8138,0.0524,0.0035
1,0.6,0.6,605.1083,145697.3,503,0,-0.1873,505.5585,-0.0027,0,0,0.0528,0.0522,0.0518,0,0,0,7.2553,0,0,100,0,0,0,0,0,0,0,0,0,0,592.4072,-42893.54,0.0582,1.1272,0,0,0,0,0,0,0,0,0,0,4.5651,-0.0014,-0.0007,-0.0007,581.2552,75.6967,99.5498,-23.8531,0.9606,0.7604,7853.865,-0.0014,597.1572,91.5987,-11.9266,0,1.6125,87.6233,2.5585,0.0338,0,0,1524615,-505.5585,0,0,0,1.52E+08,0,0,50.6981,31.15,575.5482,600.2745,625.3475,5.3775,-0.0014,2.3117,-2.258,0.0218,625.9216,600.2745,574.9742,120.3631,94.716,69.4157,-0.0013,2.3117,-2.2581,600.3901,94.8316,50.9474,0.4966,1.7339,83.9066,0.0523,0.0048
1,0.8,0.8,604.7155,145709,504,0,-0.188,505.5834,-0.0023,0,0,0.0528,0.0522,0.0518,0,0,0,7.2489,0,0,100,0,0,0,0,0,0,0,0,0,0,592.4966,-42899.8,0.0765,1.4302,0,0,0,0,0,0,0,0,0,0,4.5614,-0.0012,-0.0006,-0.0006,580.7829,75.1995,99.1321,-23.9326,0.9604,0.7586,7853.881,-0.0012,596.738,91.1546,-11.9663,0,-5.012,87.1658,1.5834,0.0211,0,0,1524615,-505.5834,0,0,0,1.52E+08,0,0,50.6983,31.1502,574.7241,600.0652,624.1866,6.8229,-0.0012,2.3117,-2.2584,0.0287,625.1105,600.0652,573.8002,119.5271,94.4818,68.2168,-0.001,2.3117,-2.2586,599.6586,94.0752,51.3103,0.5119,1.7522,82.2884,0.0521,0.0064
1,1,1,604.9059,145716.2,504,0,-0.1871,505.5667,-0.0017,0,0,0.0528,0.0522,0.0518,0,0,0,7.238,0,0,100,0,0,0,0,0,0,0,0,0,0,592.2274,-42906.06,0.0993,1.7842,0,0,0,0,0,0,0,0,0,0,4.5638,-0.0009,-0.0005,-0.0005,581.0868,75.5201,99.3392,-23.8191,0.9606,0.7602,7853.904,-0.0009,596.9662,91.3995,-11.9096,0,5.2891,87.4297,1.5667,0.0207,0,0,1524615,-505.5667,0,0,0,1.52E+08,0,0,50.6984,31.1504,575.3722,600.0807,625.1094,8.5117,-0.0009,2.3123,-2.2588,0.0372,626.5257,600.0807,573.9559,120.959,94.514,68.3892,-0.0006,2.3123,-2.2591,600.1874,94.6207,52.5698,0.497,1.7687,80.5528,0.0526,0.0082
1,1.2,1.2,605.2212,145728.2,504,0,-0.1878,505.7367,-0.001,0,0,0.0528,0.0522,0.0518,0,0,0,7.2772,0,0,100,0,0,0,0,0,0,0,0,0,0,592.4476,-42915.58,0.1271,2.1033,0,0,0,0,0,0,0,0,0,0,4.5656,-0.0005,-0.0003,-0.0003,581.3136,75.5769,99.4845,-23.9076,0.9605,0.7597,7853.936,-0.0005,597.252,91.5153,-11.9538,0,1.603,87.5307,1.7367,0.023,0,0,1524615,-505.7367,0,0,0,1.52E+08,0,0,50.6987,31.1507,575.6064,600.3598,625.5766,10.0339,-0.0005,2.3123,-2.2595,0.0477,627.5161,600.3598,573.6669,121.7794,94.6231,67.9302,0,2.3123,-2.26,600.5143,94.7776,53.8492,0.4957,1.7927,79.0599,0.0523,0.0105
1,1.4,1.4,604.8333,145720.6,504,0,-0.1863,506.0672,0.0002,0,0,0.0528,0.0522,0.0518,0,0,0,7.219,0,0,100,0,0,0,0,0,0,0,0,0,0,592.3326,-42922.96,0.1584,2.3593,0,0,0,0,0,0,0,0,0,0,4.5641,0.0001,0.0001,0.0001,581.1191,75.0519,98.7661,-23.7142,0.9608,0.7599,7853.983,0.0001,596.9285,90.8613,-11.8571,0,53.2649,86.909,2.0672,0.0275,0,0,1524615,-506.0672,0,0,0,1.52E+08,0,0,50.699,31.151,575.3518,600.0757,624.754,11.255,0.0001,2.3122,-2.2602,0.0594,627.1973,600.0757,572.9085,121.1301,94.0085,66.8413,0.0009,2.3122,-2.261,600.0605,93.9933,54.2888,0.5004,1.8122,77.7519,0.0521,0.0131
1,1.6,1.6,604.9663,145749.8,504,0,-0.187,506.258,0.0014,0,0,0.0528,0.0522,0.0518,0,0,0,7.2315,0,0,100,0,0,0,0,0,0,0,0,0,0,592.1981,-42934.23,0.1879,2.5748,0,0,0,0,0,0,0,0,0,0,4.5644,0.0007,0.0003,0.0003,581.1539,74.8959,98.7083,-23.8124,0.9606,0.7588,7854.03,0.0007,597.0288,90.7708,-11.9062,0,7.7437,86.8021,2.258,0.0301,0,0,1524615,-506.258,0,0,0,1.52E+08,0,0,50.6993,31.1514,575.508,600.1069,625.3135,12.2829,0.0007,2.3128,-2.2611,0.0705,628.1779,600.1069,572.6436,121.9199,93.8489,66.3856,0.0018,2.3128,-2.2622,600.3095,94.0515,55.5343,0.4945,1.8365,76.8729,0.0524,0.0156
