Stage Number,Time since start of test (s),Time since start of stage (s),Radial Pressure (kPa),Radial Volume (mm3),Back Pressure (kPa),Back Volume (mm3),Load Cell (kN),Pore Pressure (kPa),Axial Displacement (mm),L/C Pressure (kPa),L/C Volume (mm3),Local Axial 1,Local Axial 2,Local Radial,Base Pressure (kPa),Base Volume (mm3),Back Differential Pressure (kPa),Axial Displacement 2 (mm),Pore Air Pressure (kPa),Pore Air Volume (mm3),Atmospheric Pressure (kPa),Temperature (°C),Mid Plane PWP (kPa),Back to Cell Differential (kPa),Total Volume Change (mm3),Undefined Tx 1,Undefined Tx 2,Undefined Tx 3,Undefined Tx. 4,HCA secondary control axial load (kN),HCA secondary control torque,Internal Cell Pr. (kPa),Internal Cell Vol. (mm3),Rotational Displ. (mm),Torque,Local Int Defmn 1 (mm),Local Int Defmn 2 (mm),Circumf. Defmn 1 (mm),Circumf. Defmn 2 (mm),Circumf. Defmn 3 (mm),Outer Cell Pr 2 (kPa),Internal cell Pr 2 (kPa),Rotation 2 (°),Secondary Cell Pr (kPa),Secondary Back Pr (kPa),Axial Force (kN),Axial Strain (%),Av Diameter Change (mm),Radial Strain (%),Axial Stress (kPa),Eff. Axial Stress (kPa),Eff. Radial Stress (kPa),Deviator Stress (kPa),Total Stress Ratio (%),Eff. Stress Ratio (%),Current Area (mm2),Shear Strain (%),Cambridge p (kPa),Eff. Cambridge p' (kPa),Max Shear Stress t,Volume Change (mm3),B Value,Mean Stress s/Eff. Axial Stress 2,Excess PWP (kPa),PWP Ratio,Lower Chamber Displacement (mm),Lower Chamber Axial Load (kPa),Specimen Air Volume (mm3),Matric Suction (kPa),Voids ratio,Degree of Saturation (°),Specimen Water Volume (mm3),kRT constant,Permeability IN,Permeability OUT,HCA Outer Rad,HCA Inner Rad,HCA Sigma Z (kPa),HCA Sigma R (kPa),HCA Sigma Theta (kPa),HCA Tau Theta Z,HCA Ez,HCA Er,HCA Etheta,HCA Gamma,HCA Sigma1,HCA Sigma2,HCA Sigma3,HCA Eff Sigma1,HCA Eff Sigma2,HCA Eff Sigma3,HCA E1,HCA E2,HCA E3,HCA P,HCA Eff P,HCA Q,HCA B,HCA Eff R,HCA Alpha,HCA Ev,HCA E1 rtv
1,0,0,604.7632,54219.77,500,0,-0.1892,494.4378,0.0112,0,0,0.0528,0.0522,0.0518,0,0,0,3.3168,0,0,100,0,0,0,0,0,0,0,0,0,0,592.5571,81023.54,0.0023,-0.0091,0,0,0,0,0,0,0,0,0,0,4.5609,0.0057,0.0029,0.0029,580.6792,86.2414,110.3254,-24.084,0.9602,0.7817,7854.423,0.0057,596.7352,102.2974,-12.042,0,0.4614,98.2834,-5.5622,-0.0645,0,0,1536474,-494.4378,0,0,0,1.54E+08,0,0,48.6652,27.7166,572.9854,600.334,620.9127,-0.0462,0.0057,-4.5282,4.737,0.0008,620.9128,600.334,572.9854,126.475,105.8962,78.5476,4.737,-4.5282,0.0057,598.0774,103.6396,47.9274,0.5706,1.6102,-89.9448,0.2145,89.9999
1,0,0,604.6435,54261.75,500,0,-0.188,494.3277,0.0108,0,0,0.0528,0.0522,0.0518,0,0,0,3.2975,0,0,100,0,0,0,0,0,0,0,0,0,0,592.4995,81012.88,0.0037,0.0295,0,0,0,0,0,0,0,0,0,0,4.5611,0.0055,0.0028,0.0028,580.7058,86.3781,110.3158,-23.9377,0.9604,0.783,7854.407,0.0055,596.6642,102.3365,-11.9689,0,0.7221,98.347,-5.6723,-0.0657,0,0,1536474,-494.3277,0,0,0,1.54E+08,0,0,48.6653,27.7169,573.0746,600.2368,620.7112,0.1499,0.0055,-4.5273,4.7364,0.0013,620.7117,600.2368,573.0741,126.384,105.9091,78.7464,4.7364,-4.5273,0.0055,598.0075,103.6798,47.6376,0.5702,1.605,89.8197,0.2146,89.9999
1,0.2,0.2,604.8052,54269.14,500,0,-0.1881,494.5212,0.0117,0,0,0.0528,0.0522,0.0518,0,0,0,3.3198,0,0,100,0,0,0,0,0,0,0,0,0,0,592.2491,80999.12,0.0382,0.5004,0,0,0,0,0,0,0,0,0,0,4.5623,0.006,0.003,0.003,580.8557,86.3345,110.284,-23.9495,0.9604,0.7828,7854.446,0.006,596.822,102.3008,-11.9748,0,-0.85,98.3093,-5.4788,-0.0635,0,0,1536474,-494.5212,0,0,0,1.54E+08,0,0,48.6656,27.7173,573.4145,600.2488,621.4186,2.5427,0.006,-4.5269,4.7355,0.0133,621.5529,600.2488,573.2802,127.0317,105.7276,78.759,4.7355,-4.5269,0.006,598.3607,103.8394,48.2727,0.5587,1.6129,86.9764,0.2146,89.9986
1,0.4,0.4,604.7173,54308.95,500,0,-0.1879,494.6834,0.0103,0,0,0.0528,0.0522,0.0518,0,0,0,3.3126,0,0,100,0,0,0,0,0,0,0,0,0,0,592.3109,80986.72,0.0574,1.0275,0,0,0,0,0,0,0,0,0,0,4.5618,0.0053,0.0026,0.0026,580.7961,86.1127,110.0339,-23.9212,0.9604,0.7826,7854.391,0.0053,596.7436,102.0602,-11.9606,0,-1.49,98.0733,-5.3166,-0.0617,0,0,1536474,-494.6834,0,0,0,1.54E+08,0,0,48.6657,27.7176,573.2946,600.2153,621.1329,5.2212,0.0053,-4.5259,4.7349,0.02,621.6961,600.2153,572.7314,127.0127,105.5319,78.048,4.7349,-4.5259,0.0053,598.2143,103.5309,48.9647,0.5613,1.6274,83.8432,0.2143,89.9979
1,0.6,0.6,604.8822,54301.77,500,0,-0.1828,494.4537,0.0098,0,0,0.0528,0.0522,0.0518,0,0,0,3.3186,0,0,100,0,0,0,0,0,0,0,0,0,0,592.5197,80978.52,0.0754,1.5786,0,0,0,0,0,0,0,0,0,0,4.5682,0.005,0.0025,0.0025,581.6127,87.159,110.4285,-23.2695,0.9615,0.7893,7854.368,0.005,597.1257,102.672,-11.6348,0,-0.9221,98.7938,-5.5463,-0.0636,0,0,1536474,-494.4537,0,0,0,1.54E+08,0,0,48.6657,27.7178,574.4528,600.3962,621.24,8.0216,0.005,-4.525,4.7347,0.0263,622.5771,600.3962,573.1158,128.1234,105.9425,78.6621,4.7348,-4.525,0.0049,598.6964,104.2427,49.4613,0.5516,1.6288,80.5366,0.2147,89.9972
1,0.8,0.8,604.9943,54314.34,501,0,-0.1876,494.7325,0.0086,0,0,0.0528,0.0522,0.0518,0,0,0,3.3202,0,0,100,0,0,0,0,0,0,0,0,0,0,592.3161,80967.81,0.0945,1.9629,0,0,0,0,0,0,0,0,0,0,4.5642,0.0044,0.0022,0.0022,581.1069,86.3744,110.2618,-23.8875,0.9605,0.7834,7854.321,0.0044,597.0318,102.2993,-11.9438,0,1.8017,98.3181,-6.2675,-0.0726,0,0,1536474,-494.7325,0,0,0,1.54E+08,0,0,48.6658,27.718,573.7617,600.3937,621.77,9.9743,0.0044,-4.5246,4.7343,0.033,623.7598,600.3937,571.7719,129.0273,105.6612,77.0394,4.7344,-4.5246,0.0043,598.6418,103.9093,51.9879,0.5505,1.6748,78.718,0.2141,89.9965
1,1,1,604.9138,54332.17,501,0,-0.1887,494.4821,0.0079,0,0,0.0528,0.0522,0.0518,0,0,0,3.313,0,0,100,0,0,0,0,0,0,0,0,0,0,591.9886,80960.3,0.1125,2.438,0,0,0,0,0,0,0,0,0,0,4.5625,0.004,0.002,0.002,580.8928,86.4107,110.4317,-24.021,0.9603,0.7825,7854.289,0.004,596.9068,102.4247,-12.0105,0,0.0398,98.4212,-6.5179,-0.0754,0,0,1536474,-494.4821,0,0,0,1.54E+08,0,0,48.6658,27.7182,573.5809,600.2235,622.0166,12.3886,0.004,-4.5237,4.734,0.0393,625.0013,600.2235,570.5961,130.5192,105.7414,76.114,4.7342,-4.5237,0.0038,598.607,104.1249,54.4052,0.5446,1.7148,76.454,0.2143,89.9958
1,1.2,1.2,604.6789,54362.81,501,0,-0.1875,494.6548,0.0075,0,0,0.0528,0.0522,0.0518,0,0,0,3.3085,0,0,100,0,0,0,0,0,0,0,0,0,0,592.0396,80959.68,0.1305,2.8073,0,0,0,0,0,0,0,0,0,0,4.5618,0.0038,0.0019,0.0019,580.8048,86.15,110.0241,-23.8741,0.9605,0.783,7854.273,0.0038,596.7209,102.0661,-11.9371,0,-0.9998,98.0871,-6.3452,-0.0737,0,0,1536474,-494.6548,0,0,0,1.54E+08,0,0,48.6658,27.7182,573.4474,600.0923,621.4034,14.2652,0.0038,-4.5237,4.734,0.0456,625.3259,600.0923,569.5249,130.6711,105.4375,74.8701,4.7342,-4.5237,0.0036,598.3144,103.6596,55.801,0.5478,1.7453,74.6252,0.2141,89.9952
1,1.4,1.4,604.8748,54355.96,501,0,-0.1888,494.8043,0.0062,0,0,0.0528,0.0522,0.0518,0,0,0,3.3127,0,0,100,0,0,0,0,0,0,0,0,0,0,592.0854,80957.8,0.1485,3.1485,0,0,0,0,0,0,0,0,0,0,4.562,0.0032,0.0016,0.0016,580.8338,86.0295,110.0705,-24.041,0.9603,0.7816,7854.226,0.0032,596.8611,102.0568,-12.0205,0,15.5953,98.05,-6.1957,-0.072,0,0,1536474,-494.8043,0,0,0,1.54E+08,0,0,48.6657,27.7182,573.4566,600.2338,621.7982,15.9991,0.0032,-4.5232,4.7341,0.0519,626.6136,600.2338,568.6412,131.8093,105.4295,73.8369,4.7344,-4.5232,0.0029,598.4962,103.6919,57.9724,0.545,1.7851,73.2493,0.2141,89.9945
1,1.6,1.6,605.037,54357.48,501,0,-0.1863,494.7022,0.0056,0,0,0.0528,0.0522,0.0518,0,0,0,3.3127,0,0,100,0,0,0,0,0,0,0,0,0,0,591.999,80949.66,0.1676,3.4784,0,0,0,0,0,0,0,0,0,0,4.5658,0.0029,0.0014,0.0014,581.3194,86.6172,110.3348,-23.7176,0.9608,0.785,7854.203,0.0029,597.1311,102.4289,-11.8588,0,1.216,98.476,-6.2978,-0.0727,0,0,1536474,-494.7022,0,0,0,1.54E+08,0,0,48.6657,27.7184,574.2353,600.3058,622.2894,17.6755,0.0029,-4.5223,4.7338,0.0585,628.0906,600.3058,568.4341,133.3884,105.6036,73.7319,4.7342,-4.5223,0.0025,598.9435,104.2413,59.6565,0.5343,1.8091,71.83,0.2144,89.9938
