Stage Number,Time since start of test (s),Time since start of stage (s),Radial Pressure (kPa),Radial Volume (mm3),Back Pressure (kPa),Back Volume (mm3),Load Cell (kN),Pore Pressure (kPa),Axial Displacement (mm),L/C Pressure (kPa),L/C Volume (mm3),Local Axial 1,Local Axial 2,Local Radial,Base Pressure (kPa),Base Volume (mm3),Back Differential Pressure (kPa),Axial Displacement 2 (mm),Pore Air Pressure (kPa),Pore Air Volume (mm3),Atmospheric Pressure (kPa),Temperature (°C),Mid Plane PWP (kPa),Back to Cell Differential (kPa),Total Volume Change (mm3),Undefined Tx 1,Undefined Tx 2,Undefined Tx 3,Undefined Tx. 4,HCA secondary control axial load (kN),HCA secondary control torque,Internal Cell Pr. (kPa),Internal Cell Vol. (mm3),Rotational Displ. (mm),Torque,Local Int Defmn 1 (mm),Local Int Defmn 2 (mm),Circumf. Defmn 1 (mm),Circumf. Defmn 2 (mm),Circumf. Defmn 3 (mm),Outer Cell Pr 2 (kPa),Internal cell Pr 2 (kPa),Rotation 2 (°),Secondary Cell Pr (kPa),Secondary Back Pr (kPa),Axial Force (kN),Axial Strain (%),Av Diameter Change (mm),Radial Strain (%),Axial Stress (kPa),Eff. Axial Stress (kPa),Eff. Radial Stress (kPa),Deviator Stress (kPa),Total Stress Ratio (%),Eff. Stress Ratio (%),Current Area (mm2),Shear Strain (%),Cambridge p (kPa),Eff. Cambridge p' (kPa),Max Shear Stress t,Volume Change (mm3),B Value,Mean Stress s/Eff. Axial Stress 2,Excess PWP (kPa),PWP Ratio,Lower Chamber Displacement (mm),Lower Chamber Axial Load (kPa),Specimen Air Volume (mm3),Matric Suction (kPa),Voids ratio,Degree of Saturation (°),Specimen Water Volume (mm3),kRT constant,Permeability IN,Permeability OUT,HCA Outer Rad,HCA Inner Rad,HCA Sigma Z (kPa),HCA Sigma R (kPa),HCA Sigma Theta (kPa),HCA Tau Theta Z,HCA Ez,HCA Er,HCA Etheta,HCA Gamma,HCA Sigma1,HCA Sigma2,HCA Sigma3,HCA Eff Sigma1,HCA Eff Sigma2,HCA Eff Sigma3,HCA E1,HCA E2,HCA E3,HCA P,HCA Eff P,HCA Q,HCA B,HCA Eff R,HCA Alpha,HCA Ev,HCA E1 rtv
1,0,0,584.9412,45221.98,482,0,-0.1879,484.1439,0,0,0,0.0528,0.0522,0.0518,0,0,0,9.7505,0,0,100,0,0,0,0,0,0,0,0,0,0,572.2621,103784.9,0.0023,-0.0006,0,0,0,0,0,0,0,0,0,0,4.4062,0,0,0,561.0153,76.8714,100.7973,-23.9259,0.9591,0.7626,7853.975,0,576.9659,92.822,-11.963,0,2.0194,88.8344,2.1439,0.0279,0,0,1511891,-484.1439,0,0,0,1.51E+08,0,0,48.2533,26.9886,553.3317,580.3934,601.0332,-0.0031,0,-5.9474,6.3237,0.0008,601.0332,580.3934,553.3318,116.8893,96.2495,69.1879,6.3237,-5.9474,0,578.2527,94.1089,47.7014,0.5673,1.6894,-89.9963,0.3763,89.9999
1,0,0,584.4581,45253.73,483,0,-0.1883,484.232,-0.0017,0,0,0.0528,0.0522,0.0518,0,0,0,9.7399,0,0,100,0,0,0,0,0,0,0,0,0,0,572.3132,103751,0.0068,0.0494,0,0,0,0,0,0,0,0,0,0,4.402,-0.0009,-0.0005,-0.0005,560.4856,76.2536,100.2261,-23.9725,0.959,0.7608,7853.904,-0.0009,576.4673,92.2353,-11.9863,0,-0.3036,88.2399,1.232,0.0162,0,0,1511891,-484.232,0,0,0,1.51E+08,0,0,48.2537,26.9895,552.526,580.1017,599.8731,0.2545,-0.0009,-5.9452,6.3219,0.0024,599.8745,580.1017,552.5247,115.6425,95.8697,68.2927,6.3219,-5.9452,-0.0009,577.5003,93.2683,47.3498,0.5824,1.6933,89.692,0.3758,89.9998
1,0.2,0.2,585.0039,45303.8,483,0,-0.1874,484.4069,-0.0004,0,0,0.0528,0.0522,0.0518,0,0,0,9.7345,0,0,100,0,0,0,0,0,0,0,0,0,0,572.2125,103737.3,0.0447,0.6414,0,0,0,0,0,0,0,0,0,0,4.4072,-0.0002,-0.0001,-0.0001,561.1437,76.7368,100.597,-23.8602,0.9592,0.7628,7853.959,-0.0002,577.0505,92.6436,-11.9301,0,3.5715,88.6669,1.4069,0.0183,0,0,1511891,-484.4069,0,0,0,1.51E+08,0,0,48.2541,26.99,553.5456,580.4156,601.2397,3.3037,-0.0002,-5.9448,6.3206,0.0157,601.4675,580.4156,553.3178,117.0606,96.0087,68.9109,6.3206,-5.9448,-0.0002,578.4003,93.9934,48.1497,0.5628,1.6987,86.0563,0.3756,89.9988
1,0.4,0.4,585.0575,45313.1,483,0,-0.188,484.4345,-0.001,0,0,0.0528,0.0522,0.0518,0,0,0,9.761,0,0,100,0,0,0,0,0,0,0,0,0,0,572.1027,103732.9,0.072,1.301,0,0,0,0,0,0,0,0,0,0,4.407,-0.0005,-0.0003,-0.0003,561.12,76.6855,100.623,-23.9375,0.9591,0.7621,7853.936,-0.0005,577.0783,92.6438,-11.9688,0,2.4139,88.6543,1.4345,0.0187,0,0,1511891,-484.4345,0,0,0,1.51E+08,0,0,48.2541,26.9901,553.5541,580.4106,601.5008,6.7013,-0.0005,-5.9443,6.3205,0.0252,602.4198,580.4106,552.6351,117.9853,95.9761,68.2006,6.3206,-5.9443,-0.0006,578.4885,94.054,49.7847,0.5579,1.73,82.1913,0.3757,89.998
1,0.6,0.6,585.1729,45296.86,483,0,-0.1865,484.5921,-0.0023,0,0,0.0528,0.0522,0.0518,0,0,0,9.7413,0,0,100,0,0,0,0,0,0,0,0,0,0,572.6138,103732.1,0.1012,1.9053,0,0,0,0,0,0,0,0,0,0,4.4094,-0.0012,-0.0006,-0.0006,561.4294,76.8373,100.5808,-23.7435,0.9594,0.7639,7853.881,-0.0012,577.2584,92.6663,-11.8718,0,1.9429,88.7091,1.5921,0.0207,0,0,1511891,-484.5921,0,0,0,1.51E+08,0,0,48.254,26.9901,553.7877,580.668,601.1142,9.814,-0.0012,-5.9439,6.3206,0.0354,603.0685,580.668,551.8333,118.4764,96.0759,67.2412,6.3207,-5.9439,-0.0013,578.5233,93.9312,51.2352,0.5628,1.762,78.7372,0.3755,89.9972
1,0.8,0.8,585.0539,45304.72,483,0,-0.1879,484.4391,-0.0038,0,0,0.0528,0.0522,0.0518,0,0,0,9.744,0,0,100,0,0,0,0,0,0,0,0,0,0,571.9869,103726.6,0.1338,2.4886,0,0,0,0,0,0,0,0,0,0,4.407,-0.002,-0.001,-0.001,561.1284,76.6893,100.6148,-23.9255,0.9591,0.7622,7853.818,-0.002,577.0787,92.6396,-11.9628,0,2.5102,88.6521,1.4391,0.0188,0,0,1511891,-484.4391,0,0,0,1.51E+08,0,0,48.2538,26.9901,553.621,580.3668,601.64,12.8187,-0.002,-5.943,6.3209,0.0469,604.8477,580.3668,550.4133,120.4086,95.9277,65.9742,6.3211,-5.943,-0.0022,578.5427,94.1035,54.4344,0.5503,1.8251,75.9511,0.3759,89.9963
1,1,1,584.7905,45303.96,483,0,-0.1886,484.4928,-0.0058,0,0,0.0528,0.0522,0.0518,0,0,0,9.7353,0,0,100,0,0,0,0,0,0,0,0,0,0,571.9074,103724.1,0.1676,2.9971,0,0,0,0,0,0,0,0,0,0,4.4042,-0.003,-0.0015,-0.0015,560.7775,76.2847,100.2977,-24.013,0.9589,0.7606,7853.739,-0.003,576.7862,92.2934,-12.0065,0,-3.186,88.2912,1.4928,0.0196,0,0,1511891,-484.4928,0,0,0,1.51E+08,0,0,48.2537,26.9901,553.1344,580.1693,601.1432,15.4381,-0.003,-5.9425,6.3211,0.0587,605.679,580.1693,548.5986,121.1862,95.6765,64.1058,6.3214,-5.9425,-0.0033,578.149,93.6562,57.0804,0.5531,1.8904,73.6267,0.3756,89.9954
1,1.2,1.2,584.9495,45314.4,483,0,-0.187,484.6155,-0.0085,0,0,0.0528,0.0522,0.0518,0,0,0,9.7389,0,0,100,0,0,0,0,0,0,0,0,0,0,572.1187,103718.5,0.2104,3.4924,0,0,0,0,0,0,0,0,0,0,4.407,-0.0044,-0.0022,-0.0022,561.1418,76.5263,100.334,-23.8077,0.9593,0.7627,7853.629,-0.0044,577.0136,92.3981,-11.9039,0,15.5938,88.4302,1.6155,0.0211,0,0,1511891,-484.6155,0,0,0,1.51E+08,0,0,48.2534,26.99,553.5874,580.3471,601.2359,17.9897,-0.0044,-5.9417,6.3216,0.0737,607.265,580.3471,547.5582,122.6495,95.7316,62.9427,6.322,-5.9417,-0.0048,578.3901,93.7746,59.7068,0.5492,1.9486,71.4718,0.3755,89.9942
1,1.4,1.4,584.9362,45305.48,483,0,-0.1856,484.6789,-0.0112,0,0,0.0528,0.0522,0.0518,0,0,0,9.7276,0,0,100,0,0,0,0,0,0,0,0,0,0,572.1349,103717.2,0.2619,3.9576,0,0,0,0,0,0,0,0,0,0,4.4082,-0.0058,-0.0029,-0.0029,561.3025,76.6236,100.2573,-23.6337,0.9596,0.7643,7853.52,-0.0058,577.0583,92.3794,-11.8169,0,29.0015,88.4404,1.6789,0.0219,0,0,1511891,-484.6789,0,0,0,1.51E+08,0,0,48.2531,26.9899,553.8387,580.3444,601.1852,20.3864,-0.0058,-5.9408,6.3222,0.0917,608.7534,580.3444,546.2705,124.0745,95.6655,61.5916,6.3229,-5.9408,-0.0065,578.4561,93.7772,62.4829,0.5453,2.0145,69.6332,0.3756,89.9928
1,1.6,1.6,584.7239,45307.16,483,0,-0.1871,485.1149,-0.0158,0,0,0.0528,0.0522,0.0518,0,0,0,9.7091,0,0,100,0,0,0,0,0,0,0,0,0,0,572.2201,103713.5,0.3223,4.311,0,0,0,0,0,0,0,0,0,0,4.4049,-0.0082,-0.0041,-0.0041,560.8958,75.7809,99.609,-23.8281,0.9592,0.7608,7853.331,-0.0082,576.7812,91.6663,-11.9141,0,-5.3186,87.695,2.1149,0.0279,0,0,1511891,-485.1149,0,0,0,1.51E+08,0,0,48.2526,26.9897,553.1916,580.2388,600.5954,22.2076,-0.0082,-5.9395,6.3232,0.1129,609.3736,580.2388,544.4134,124.2587,95.1239,59.2985,6.3242,-5.9395,-0.0092,578.0085,92.8937,64.9602,0.5515,2.0955,68.4321,0.3755,89.9911
1,1.8,1.8,584.8502,45326.44,484,0,-0.1847,485.4868,-0.0206,0,0,0.0528,0.0522,0.0518,0,0,0,9.7184,0,0,100,0,0,0,0,0,0,0,0,0,0,572.0916,103709.1,0.3903,4.6831,0,0,0,0,0,0,0,0,0,0,4.4082,-0.0107,-0.0053,-0.0053,561.33,75.8432,99.3634,-23.5202,0.9598,0.7633,7853.135,-0.0107,577.0102,91.5234,-11.7601,0,-21.1837,87.6033,1.4868,0.0196,0,0,1511891,-485.4868,0,0,0,1.51E+08,0,0,48.2521,26.9895,553.9107,580.2737,601.0452,24.1252,-0.0107,-5.9381,6.3242,0.1367,611.2039,580.2737,543.752,125.7171,94.7869,58.2652,6.3257,-5.9381,-0.0122,578.4099,92.9231,67.4519,0.5414,2.1577,67.1649,0.3754,89.9893
1,2,2,584.6597,45339.86,484,0,-0.1877,485.8247,-0.026,0,0,0.0528,0.0522,0.0518,0,0,0,9.709,0,0,100,0,0,0,0,0,0,0,0,0,0,572.0825,103705.3,0.4601,4.8916,0,0,0,0,0,0,0,0,0,0,4.4036,-0.0135,-0.0067,-0.0067,560.7599,74.9352,98.835,-23.8998,0.9591,0.7582,7852.915,-0.0135,576.6931,90.8684,-11.9499,0,-6.757,86.8851,1.8247,0.0244,0,0,1511891,-485.8247,0,0,0,1.51E+08,0,0,48.2514,26.9892,553.0396,580.1482,600.6246,25.2005,-0.0135,-5.9364,6.3256,0.1611,611.4897,580.1482,542.1745,125.665,94.3235,56.3498,6.3276,-5.9364,-0.0155,577.9375,92.1128,69.3152,0.5478,2.2301,66.6769,0.3757,89.9874
